,predicted_value,ground_truth
0,25.074617,32.0
1,15.90432,12.83
2,12.750574,13.88
3,21.962488,23.0
4,18.559301,15.53
5,29.330912,31.2827
6,12.388161,10.52
7,22.225883,20.9
8,19.421959,15.7
9,13.48316,9.5
10,10.776484,9.5202
11,12.82896,17.79
12,15.968763,14.29
13,12.211279,11.6
14,13.1732235,13.8
15,12.245028,9.21
16,18.501104,14.7
17,16.543491,15.25
18,10.426207,9.1068
19,24.356983,14.88
20,28.276144,11.91
21,16.427443,14.42
22,16.696949,20.56
23,11.2750435,10.52
24,24.449759,17.1
25,23.83312,32.0
26,11.509542,10.2218
27,21.459135,22.48
28,18.150267,12.23
29,16.750175,15.8
30,17.607111,17.78
31,11.36067,9.75
32,10.818113,13.6
33,9.333036,8.2464
34,14.401737,18.2
35,19.207197,28.8
36,12.368612,11.9
37,14.032524,14.77
38,17.285894,23.0
39,11.393339,11.56
40,12.6115055,10.4
41,27.460009,24.6543
42,18.714605,25.66
43,19.814936,18.2177
44,30.238352,39.0
45,9.234591,8.2
46,25.431028,20.0
47,17.263638,18.0
48,12.692137,9.2
49,14.932316,16.88
50,10.500963,11.83
51,15.80858,13.28
52,25.195522,26.0
53,10.388433,12.8
54,21.018528,22.0
55,21.948008,15.8
56,30.106924,56.2
57,11.585146,12.38
