,predicted_value,ground_truth
0,36.00076,18.2806
1,9.581144,18.2
2,9.249223,13.75
3,21.275438,19.8
4,15.732172,8.7721
5,17.983727,15.42
6,22.489534,7.0
7,10.820381,11.56
8,12.945595,22.0
9,25.87771,34.0534
10,7.154884,10.19
11,12.686829,8.2
12,12.733313,25.0157
13,40.515095,27.0
14,24.010725,21.0
15,9.161038,8.86
16,10.468647,13.35
17,10.612444,14.77
18,16.000053,17.2
19,14.68335,21.0
20,19.56324,25.66
21,21.207365,16.104
22,8.12537,9.3
23,36.01069,23.1
24,10.970688,15.92
25,31.662064,23.08
26,16.711239,14.91
27,17.734568,9.31
28,11.89695,17.79
29,15.127644,12.64
30,17.896566,16.66
31,7.0176725,10.4
32,7.7060285,8.2
33,11.722712,14.3
34,21.275656,11.92
35,19.170353,18.1383
36,8.670101,12.8
37,15.763992,15.5
38,9.798855,9.9165
39,11.571701,13.77
40,41.923702,11.91
41,12.119335,10.8
42,59.76508,40.0
43,46.32585,36.0
44,11.423063,11.6
45,17.512503,14.25
46,7.74436,12.3477
47,19.39983,33.24
48,29.817057,29.0
49,23.023516,13.0
50,18.569065,16.55
51,15.599945,14.0
52,27.786781,15.53
53,61.846798,34.0
54,9.017931,8.83
55,16.228136,10.69
56,12.128141,9.66
57,14.637709,22.74
