,predicted_value,ground_truth
0,10.971202,8.39
1,15.199494,15.7
2,21.42275,16.1
3,12.997385,9.15
4,19.632864,23.0
5,10.694953,7.7502
6,9.523025,9.5202
7,26.843338,34.0068
8,11.310769,9.2
9,9.943961,11.56
10,20.190847,17.78
11,19.778181,26.0
12,33.157692,21.0
13,16.114225,13.12
14,12.046753,16.03
15,20.28016,17.6
16,29.520884,39.2526
17,16.783777,13.8097
18,14.00532,12.76
19,12.644171,9.69
20,12.841079,10.69
21,13.834121,10.5
22,16.052633,9.31
23,27.21441,12.9391
24,14.145542,14.1
25,10.680031,9.97
26,25.477577,25.34
27,28.79422,33.0
28,21.091425,21.22
29,10.868725,12.4
30,27.790487,24.0
31,20.02234,12.77
32,12.471677,11.55
33,31.967644,21.0
34,14.174317,10.9
35,12.233828,11.8
36,10.631779,14.9
37,15.814685,13.8
38,31.519678,39.3949
39,23.990932,24.83
40,11.475733,13.75
41,25.096024,33.17
42,21.400951,23.3
43,10.739882,13.583
44,15.118589,12.64
45,10.733977,12.08
46,12.985843,10.74
47,11.804113,14.66
48,24.806715,27.92
49,17.346664,15.6
50,24.730486,18.7
51,14.846952,14.8
52,23.848164,16.93
53,17.995771,20.56
54,15.044723,16.83
55,22.93993,17.4
56,19.429756,18.7379
57,13.696648,14.29
