,predicted_value,ground_truth
0,12.94119,13.8
1,15.8408165,12.75
2,19.729376,15.6
3,16.057476,31.78
4,8.417034,11.55
5,16.269238,20.8
6,10.484606,8.2
7,8.900657,13.33
8,8.871239,12.25
9,48.455826,40.0
10,11.620986,15.82
11,16.939627,17.0
12,12.92351,11.6
13,18.862429,21.0
14,15.016853,23.0
15,8.346336,8.2
16,9.036381,12.49
17,26.240215,23.35
18,13.026695,15.4
19,13.220915,17.2
20,9.43799,13.78
21,31.9888,18.3
22,31.708397,25.0
23,10.399841,10.4
24,10.959371,9.41
25,20.069147,14.1
26,10.577364,9.3
27,15.152926,14.37
28,7.2362685,12.1
29,16.92101,16.6
30,25.887787,30.66
31,12.260491,12.4
32,6.6010137,12.9
33,14.859581,17.2
34,13.413933,11.8
35,42.624058,33.0
36,9.328581,16.0
37,12.994859,9.31
38,11.429025,13.36
39,15.169884,18.59
40,36.916695,21.0
41,18.028753,22.38
42,22.479,27.03
43,8.180983,12.8
44,30.870564,25.66
45,40.479355,36.0
46,9.698844,10.79
47,8.515356,8.87
48,6.9738545,14.4
49,14.400802,11.79
50,11.417393,14.8
51,10.946325,15.3
52,9.294628,13.75
53,16.350256,9.15
54,14.945776,22.601
55,14.11613,14.79
56,15.445673,10.69
57,9.155106,10.4
