,predicted_value,ground_truth
0,12.315877,13.8
1,19.010399,12.75
2,19.356491,15.6
3,16.195475,31.78
4,16.382942,11.55
5,19.505276,20.8
6,10.199435,8.2
7,12.721702,13.33
8,11.756508,12.25
9,36.324627,40.0
10,15.962553,15.82
11,17.420406,17.0
12,12.922365,11.6
13,21.862896,21.0
14,24.029545,23.0
15,12.775544,8.2
16,10.614573,12.49
17,21.353432,23.35
18,19.41035,15.4
19,20.312471,17.2
20,15.359922,13.78
21,19.526913,18.3
22,30.760715,25.0
23,11.286153,10.4
24,10.927397,9.41
25,15.271878,14.1
26,12.112014,9.3
27,14.94623,14.37
28,11.822949,12.1
29,15.635947,16.6
30,22.133535,30.66
31,16.701027,12.4
32,14.02055,12.9
33,14.567605,17.2
34,10.466185,11.8
35,22.984407,33.0
36,13.448299,16.0
37,11.87556,9.31
38,12.279679,13.36
39,17.485003,18.59
40,24.030003,21.0
41,17.209328,22.38
42,22.172997,27.03
43,10.967191,12.8
44,21.655273,25.66
45,34.77412,36.0
46,14.262212,10.79
47,10.337066,8.87
48,11.372319,14.4
49,16.281736,11.79
50,12.954475,14.8
51,16.432215,15.3
52,14.862858,13.75
53,18.016483,9.15
54,22.353092,22.601
55,13.253512,14.79
56,13.459942,10.69
57,11.176804,10.4
