,predicted_value,ground_truth
0,7.6770964,10.25
1,21.855186,17.2
2,9.517999,10.2
3,10.152747,16.0
4,29.824923,18.8008
5,41.07583,40.0
6,16.1251,9.31
7,9.028332,16.88
8,39.432907,37.0
9,20.410887,13.41
10,15.797637,15.82
11,10.67195,25.0
12,9.472298,12.3477
13,13.704642,14.98
14,8.827536,12.83
15,13.945401,8.52
16,8.983697,14.03
17,31.680323,32.0
18,7.9769917,11.55
19,13.233808,7.0
20,8.37365,10.69
21,7.4976397,12.66
22,18.177076,15.04
23,31.673908,20.0
24,22.348225,23.65
25,38.017017,28.0
26,26.745117,21.15
27,8.154622,11.69
28,7.3724546,7.26
29,28.443699,26.0
30,20.370325,18.9
31,18.953577,8.94
32,21.392502,14.8
33,8.23111,12.58
34,12.480641,13.78
35,12.3358755,17.2
36,13.163392,14.18
37,5.785495,8.9747
38,12.374717,11.9
39,11.333257,14.0
40,31.724688,24.0
41,19.400026,20.04
42,35.19156,30.0
43,23.696205,17.4
44,10.180225,9.5
45,6.7072077,11.0
46,8.623766,12.8
47,10.4217825,10.96
48,23.251099,16.93
49,17.54061,18.2615
50,39.938988,20.34
51,8.7267275,15.25
52,7.595563,10.86
53,11.607205,13.6
54,12.218197,14.9432
55,7.609146,13.28
56,33.266193,23.08
57,12.657418,11.95
