,predicted_value,ground_truth
0,11.335944,9.66
1,13.31051,11.9
2,10.3687725,8.3313
3,12.770931,9.81
4,9.617942,14.66
5,11.232555,10.64
6,10.637178,9.3
7,13.369074,14.2
8,12.33292,10.5
9,14.536416,13.3
10,11.1456585,9.2
11,15.216781,13.8
12,14.56188,19.13
13,14.078328,14.79
14,11.303438,15.92
15,12.576755,16.57
16,13.39196,11.45
17,11.12984,11.95
18,13.363673,16.0
19,9.233788,12.66
20,14.637218,14.36
21,11.2189665,13.63
22,16.132023,17.0705
23,16.24395,12.9391
24,15.754218,12.75
25,11.168091,12.1
26,8.667599,8.2464
27,8.243633,8.43
28,10.722178,13.72
29,15.205032,17.6
30,11.078372,11.56
31,16.998325,17.2
32,12.14303,10.96
33,13.2786665,16.3943
34,13.684164,12.43
35,15.147956,13.92
36,16.058043,17.1
37,14.03914,18.2615
38,14.4597435,15.1
39,10.804573,10.84
40,17.064087,19.08
41,10.061304,9.44
