,predicted_value,ground_truth
0,7.366352,8.39
1,12.483988,15.7
2,19.251904,16.1
3,11.489525,9.15
4,18.395979,23.0
5,6.138096,7.7502
6,10.687745,9.5202
7,18.547525,34.0068
8,10.462139,9.2
9,10.310244,11.56
10,10.657695,17.78
11,16.598331,26.0
12,23.930632,21.0
13,7.661437,13.12
14,17.445396,16.03
15,22.082932,17.6
16,25.110023,39.2526
17,17.621489,13.8097
18,16.964775,12.76
19,10.415683,9.69
20,7.189471,10.69
21,8.891991,10.5
22,10.317893,9.31
23,16.858044,12.9391
24,16.07862,14.1
25,7.129165,9.97
26,24.002996,25.34
27,32.75838,33.0
28,18.926474,21.22
29,11.102946,12.4
30,40.326817,24.0
31,17.45955,12.77
32,8.966952,11.55
33,26.73997,21.0
34,11.616598,10.9
35,12.967292,11.8
36,15.350282,14.9
37,16.738596,13.8
38,26.161444,39.3949
39,40.749355,24.83
40,12.327633,13.75
41,28.780344,33.17
42,24.889828,23.3
43,8.11121,13.583
44,10.935574,12.64
45,16.450436,12.08
46,12.641011,10.74
47,12.094628,14.66
48,23.823465,27.92
49,30.024773,15.6
50,29.893858,18.7
51,8.869767,14.8
52,20.089901,16.93
53,16.903824,20.56
54,15.285765,16.83
55,12.901446,17.4
56,22.119032,18.7379
57,12.549268,14.29
