,predicted_value,ground_truth
0,10.327778,11.83
1,13.403748,14.1
2,15.471055,9.15
3,12.522952,10.64
4,13.829768,14.42
5,13.766961,8.2
6,14.1999,11.6
7,12.926139,14.17
8,9.825654,10.2218
9,14.960434,13.95
10,14.651728,15.6
11,16.25658,18.3
12,15.009759,18.1547
13,17.572132,18.9
14,13.128465,14.0
15,10.613697,12.44
16,12.864462,13.12
17,14.115857,10.9
18,10.6438,14.86
19,10.050233,8.52
20,15.336724,9.97
21,15.685413,19.8
22,11.12745,9.44
23,9.93779,17.8
24,13.825036,16.31
25,13.443009,14.42
26,9.96631,11.56
27,14.415931,12.25
28,10.678494,12.3477
29,12.447179,17.8
30,14.458381,13.25
31,13.3646345,16.57
32,11.606411,10.82
33,14.020094,15.27
34,12.364407,12.77
35,12.720746,10.4
36,11.94956,16.0
37,10.108481,13.38
38,10.027697,9.73
39,11.216318,11.56
40,13.371611,16.8
41,9.908994,7.29
