,predicted_value,ground_truth
0,15.571883,12.92
1,26.959986,19.08
2,12.338676,14.75
3,22.469328,14.1
4,21.260931,9.71
5,9.432465,13.9
6,9.884944,12.38
7,12.191548,15.92
8,8.806075,11.99
9,38.889706,19.66
10,10.534929,10.2
11,14.365098,15.6
12,9.932824,8.75
13,6.649755,10.53
14,16.420874,14.8
15,18.546122,17.4
16,13.302039,17.31
17,17.073494,12.81
18,14.248657,15.91
19,10.482348,14.77
20,4.650558,9.7201
21,7.8591886,8.2656
22,10.1759815,14.0
23,23.399792,16.1
24,9.363242,8.26
25,21.783726,15.6
26,8.987669,11.03
27,7.016469,8.88
28,6.7616296,10.76
29,14.628954,14.44
30,6.1455975,13.35
31,12.70027,16.31
32,26.373396,16.83
33,9.799893,12.8
34,14.085711,11.92
35,14.397505,11.6
36,9.410554,10.0
37,30.98047,18.1547
38,18.30596,13.78
39,14.243822,14.18
40,7.417672,10.73
41,7.816625,9.3
