,predicted_value,ground_truth
0,16.916386,15.3
1,12.072355,9.5
2,12.854193,14.8
3,14.517544,10.69
4,12.8011465,11.6
5,16.607244,15.82
6,15.475069,17.9
7,17.299686,15.28
8,13.195499,8.07
9,10.831904,11.0
10,12.589529,8.93
11,10.837908,12.1
12,12.767553,8.52
13,12.363296,11.09
14,15.966497,14.412
15,16.257,19.7
16,13.124249,9.97
17,13.255607,12.15
18,10.996847,8.87
19,13.319908,8.26
20,18.610231,16.66
21,15.639458,13.46
22,16.294758,16.6
23,13.745988,14.2
24,17.842306,13.92
25,13.451782,13.25
26,12.890213,18.2806
27,15.032971,17.4
28,15.904932,17.2
29,12.081547,11.56
30,13.395747,12.64
31,13.327612,14.4
32,16.123161,9.15
33,15.502537,16.83
34,15.081,11.85
35,14.154744,14.0
36,12.314529,9.71
37,15.1313,15.8
38,16.97626,19.83
39,15.314647,12.67
40,16.076948,10.9
41,13.943811,16.0986
