,predicted_value,ground_truth
0,7.1920834,10.25
1,13.431417,18.0
2,18.02446,16.28
3,9.404192,12.3833
4,9.062498,10.84
5,18.828434,17.2
6,16.241295,15.91
7,10.693491,14.75
8,11.865652,11.0
9,11.974101,14.9
10,10.681892,8.75
11,10.511541,9.3
12,9.941544,8.2
13,12.707788,13.3
14,11.642954,15.75
15,11.3895,12.81
16,11.612654,12.3477
17,17.932371,17.0
18,13.094519,11.8
19,12.095198,9.71
20,11.907732,14.66
21,18.727549,18.9
22,13.103859,14.0
23,11.171272,13.72
24,13.967231,15.1
25,14.993758,13.22
26,9.546167,11.09
27,11.581118,9.73
28,9.315294,12.1
29,12.018091,16.05
30,12.6249075,8.2
31,13.239724,14.17
32,15.584908,15.6
33,12.992142,14.0
34,8.679629,8.3313
35,16.734818,14.3
36,12.059556,9.9165
37,9.669546,12.25
38,17.085966,17.2
39,19.40711,17.83
40,19.030807,16.83
41,8.146583,9.2081
