,predicted_value,ground_truth
0,73.528625,76.0
1,23.526424,25.0
2,68.88424,85.0
3,26.189045,24.0
4,73.85964,62.0
5,60.29055,74.0
6,30.467,37.0
7,71.36168,69.0
8,48.121273,36.0
9,40.80271,49.0
10,45.47847,48.0
11,34.5406,40.0
12,67.551346,62.0
13,39.41961,45.0
14,41.904396,51.0
15,47.026207,48.0
16,66.546036,77.0
17,49.375862,55.0
18,43.788795,52.0
19,71.195,60.0
20,33.414417,32.0
21,71.18975,59.0
22,28.776001,34.0
23,40.230732,44.0
24,52.295845,60.0
25,38.936104,26.0
26,43.755554,40.0
27,53.958363,57.0
28,48.762344,57.0
29,41.236958,47.0
30,80.447205,79.0
31,37.10047,28.0
32,67.12628,62.0
33,76.12715,73.0
34,72.13886,68.0
35,76.71754,76.0
36,80.077446,79.0
37,70.90495,67.0
38,18.031376,20.0
39,43.437077,43.0
40,75.008545,72.0
41,46.578484,55.0
42,40.33339,40.0
43,53.26609,56.0
44,73.479355,83.0
45,54.743263,56.0
46,52.62932,44.0
47,36.533558,30.0
48,91.73533,78.0
49,32.798027,34.0
50,71.0932,69.0
51,70.65078,69.0
52,30.143044,28.0
53,43.838753,41.0
54,43.830956,50.0
55,69.62628,66.0
56,37.690475,34.0
57,40.57715,52.0
58,67.811264,69.0
59,39.267483,36.0
60,85.30558,85.0
61,19.809103,19.0
62,27.684624,33.0
63,61.728848,66.0
64,74.1427,81.0
65,79.06248,80.0
