,predicted_value,ground_truth
0,72.11312,76.0
1,24.95329,25.0
2,78.53995,85.0
3,21.778599,24.0
4,64.757195,62.0
5,73.88547,74.0
6,31.753448,37.0
7,70.2335,69.0
8,38.404907,36.0
9,45.739563,49.0
10,51.194447,48.0
11,33.72205,40.0
12,71.35708,62.0
13,33.45083,45.0
14,44.87129,51.0
15,42.405914,48.0
16,72.73637,77.0
17,51.300903,55.0
18,44.820625,52.0
19,72.361984,60.0
20,37.751724,32.0
21,66.4343,59.0
22,32.039833,34.0
23,40.329437,44.0
24,52.707855,60.0
25,29.855513,26.0
26,35.563908,40.0
27,45.268913,57.0
28,55.745274,57.0
29,44.419,47.0
30,77.04322,79.0
31,35.963257,28.0
32,65.44904,62.0
33,81.69857,73.0
34,61.212444,68.0
35,81.008,76.0
36,78.822815,79.0
37,69.99261,67.0
38,16.912003,20.0
39,38.03028,43.0
40,77.160484,72.0
41,43.55621,55.0
42,36.223736,40.0
43,59.92005,56.0
44,83.45122,83.0
45,69.73184,56.0
46,45.995094,44.0
47,37.664238,30.0
48,76.29482,78.0
49,31.327276,34.0
50,63.90821,69.0
51,67.89159,69.0
52,23.76141,28.0
53,44.47335,41.0
54,38.822,50.0
55,72.42373,66.0
56,33.28047,34.0
57,41.376297,52.0
58,65.28608,69.0
59,32.847233,36.0
60,84.7445,85.0
61,19.372301,19.0
62,30.16431,33.0
63,69.20523,66.0
64,78.64202,81.0
65,81.89962,80.0
