,predicted_value,ground_truth
0,69.62759,55.0
1,57.02171,58.0
2,27.62852,26.0
3,73.8983,76.0
4,35.905205,34.0
5,22.00203,28.0
6,54.783264,53.0
7,48.666416,44.0
8,38.941982,42.0
9,59.638004,56.0
10,45.344086,45.0
11,72.231255,79.0
12,69.25306,81.0
13,75.28425,78.0
14,59.06031,66.0
15,63.43689,59.0
16,69.990654,63.0
17,36.70234,37.0
18,52.542545,49.0
19,64.8822,71.0
20,76.850006,86.0
21,40.99764,41.0
22,75.24326,76.0
23,73.971825,66.0
24,73.78004,68.0
25,74.59643,68.0
26,25.685522,23.0
27,71.92767,72.0
28,35.546867,31.0
29,53.08829,55.0
30,49.58481,47.0
31,47.783638,40.0
32,59.514206,60.0
33,24.238043,19.0
34,75.86467,82.0
35,41.558666,31.0
36,48.745113,38.0
37,32.783897,36.0
38,26.646006,26.0
39,39.78615,35.0
40,75.043785,76.0
41,60.703968,62.0
42,30.589,28.0
43,46.340496,50.0
44,75.63536,85.0
45,84.082,79.0
46,51.764374,45.0
47,47.76473,40.0
48,77.6659,80.0
49,40.767757,37.0
50,38.929825,32.0
51,84.80764,78.0
52,60.532375,64.0
53,28.447273,30.0
54,43.815273,24.0
55,60.556114,58.0
56,58.15077,56.0
57,78.46829,72.0
58,79.15733,70.0
59,50.87105,47.0
60,54.895542,52.0
61,39.618027,43.0
62,66.92255,61.0
63,76.83573,70.0
64,38.348743,48.0
65,82.03377,71.0
