,predicted_value,ground_truth
0,69.80241,69.0
1,49.25303,54.0
2,40.813435,37.0
3,61.186283,56.0
4,84.59567,85.0
5,42.20219,46.0
6,78.33504,68.0
7,70.807175,74.0
8,26.35811,18.0
9,60.952442,66.0
10,74.08925,79.0
11,71.29402,69.0
12,66.82034,60.0
13,24.637745,24.0
14,24.361586,26.0
15,56.100327,60.0
16,18.129593,24.0
17,45.540718,44.0
18,19.413704,25.0
19,71.65805,81.0
20,58.484486,67.0
21,50.34636,47.0
22,73.46557,71.0
23,54.885265,54.0
24,79.1729,73.0
25,53.41472,49.0
26,85.88356,80.0
27,21.150352,30.0
28,46.903713,41.0
29,88.58249,83.0
30,18.690165,25.0
31,38.185318,34.0
32,25.679857,32.0
33,81.091736,71.0
34,21.291998,28.0
35,82.50012,76.0
36,64.23983,61.0
37,70.33019,78.0
38,47.468414,39.0
39,86.02303,79.0
40,52.12801,42.0
41,41.4307,34.0
42,80.76511,74.0
43,36.31722,31.0
44,38.956253,37.0
45,56.112217,52.0
46,55.444767,62.0
47,39.882687,47.0
48,44.789303,51.0
49,78.743065,72.0
50,51.11862,48.0
51,85.03649,84.0
52,66.677345,63.0
53,78.68806,77.0
54,53.08152,46.0
55,46.600266,40.0
56,44.35489,38.0
57,30.834051,35.0
58,50.15955,51.0
59,82.329285,82.0
60,57.87681,56.0
61,68.35235,63.0
62,47.019848,53.0
63,52.47016,58.0
64,75.778206,66.0
65,62.56771,58.0
