,predicted_value,ground_truth
0,35.438698,33.0
1,70.4833,78.0
2,78.34377,78.0
3,73.67831,76.0
4,80.05115,86.0
5,70.462425,66.0
6,62.47498,72.0
7,53.617527,44.0
8,74.7805,75.0
9,43.161617,51.0
10,68.71549,69.0
11,54.45838,64.0
12,52.3028,62.0
13,26.61854,28.0
14,46.392445,46.0
15,53.46484,52.0
16,54.211723,58.0
17,48.91956,46.0
18,46.55879,55.0
19,55.29659,52.0
20,41.84091,35.0
21,26.026085,24.0
22,46.73952,47.0
23,70.458885,60.0
24,24.248112,26.0
25,31.486555,29.0
26,24.466484,34.0
27,45.083206,54.0
28,71.12953,85.0
29,39.365963,42.0
30,68.20774,68.0
31,34.21565,37.0
32,71.843346,70.0
33,74.63915,66.0
34,81.024345,83.0
35,72.515594,80.0
36,77.676476,73.0
37,79.474365,77.0
38,34.870308,38.0
39,77.76218,74.0
40,24.631004,23.0
41,27.86678,20.0
42,73.87985,79.0
43,30.84258,27.0
44,70.86199,64.0
45,61.22056,50.0
46,42.701756,35.0
47,37.075306,36.0
48,51.76433,49.0
49,49.151546,39.0
50,45.767338,47.0
51,62.519463,59.0
52,49.945683,39.0
53,62.03227,60.0
54,85.0961,82.0
55,58.906715,67.0
56,56.30299,55.0
57,55.754135,56.0
58,76.1379,71.0
59,44.941776,48.0
60,66.32059,70.0
61,33.04911,28.0
62,48.997807,58.0
63,44.235092,43.0
64,43.691963,43.0
65,34.70095,32.0
