,predicted_value,ground_truth
0,36.128204,40.0
1,27.738596,28.0
2,72.80221,76.0
3,48.10235,40.0
4,68.44782,81.0
5,38.642227,45.0
6,66.20791,79.0
7,60.06698,67.0
8,35.063583,37.0
9,33.80451,30.0
10,52.606415,53.0
11,69.355286,69.0
12,61.51913,55.0
13,46.40436,48.0
14,74.56364,79.0
15,66.86835,69.0
16,17.026407,23.0
17,42.95144,48.0
18,49.89421,58.0
19,69.771996,61.0
20,78.35992,80.0
21,47.01784,51.0
22,52.452454,64.0
23,43.798103,54.0
24,21.765686,20.0
25,73.56336,72.0
26,31.207264,40.0
27,23.097677,25.0
28,29.851198,34.0
29,63.12504,62.0
30,25.433537,37.0
31,30.574598,41.0
32,83.374825,81.0
33,57.78975,58.0
34,38.51715,43.0
35,39.738197,32.0
36,13.606989,70.0
37,73.63708,85.0
38,43.08614,46.0
39,68.77228,71.0
40,67.98879,75.0
41,37.094566,42.0
42,50.718662,51.0
43,57.89039,67.0
44,63.51519,59.0
45,19.802794,28.0
46,59.9427,56.0
47,25.19283,33.0
48,39.648266,31.0
49,43.67207,48.0
50,61.648346,59.0
51,75.9573,73.0
52,48.651672,56.0
53,71.83787,65.0
54,36.317635,45.0
55,56.750973,62.0
56,79.88867,85.0
57,37.019867,34.0
58,56.970905,52.0
59,28.268982,28.0
60,68.50966,65.0
61,76.98544,81.0
62,19.154556,24.0
63,76.01,74.0
64,80.22639,78.0
65,72.84249,79.0
