,predicted_value,ground_truth
0,61.393463,62.0
1,50.968483,53.0
2,43.211025,42.0
3,78.24908,70.0
4,44.7416,46.0
5,80.25394,75.0
6,79.99599,79.0
7,79.49733,79.0
8,72.195206,76.0
9,66.09453,68.0
10,75.28324,66.0
11,80.8703,80.0
12,68.74167,65.0
13,58.4047,66.0
14,34.596832,24.0
15,43.606457,53.0
16,59.480347,56.0
17,39.82434,43.0
18,34.790844,35.0
19,77.595955,80.0
20,72.58323,63.0
21,72.71534,63.0
22,45.900345,46.0
23,73.34397,78.0
24,36.098526,29.0
25,71.03612,73.0
26,33.554665,37.0
27,76.79375,83.0
28,87.620125,84.0
29,71.54463,85.0
30,58.565,58.0
31,71.48837,82.0
32,49.161068,49.0
33,28.365574,24.0
34,71.426704,71.0
35,80.93934,73.0
36,69.85743,69.0
37,51.916687,48.0
38,79.90728,68.0
39,60.716503,60.0
40,36.143867,36.0
41,77.65883,82.0
42,75.81671,76.0
