,predicted_value,ground_truth
0,39.908314,44.0
1,58.315483,69.0
2,27.941826,37.0
3,65.00021,65.0
4,37.24191,45.0
5,24.79363,27.0
6,81.35635,80.0
7,64.91418,71.0
8,36.548172,42.0
9,42.861927,42.0
10,79.72322,84.0
11,64.81889,77.0
12,65.98298,66.0
13,74.10962,74.0
14,78.645454,84.0
15,27.579872,32.0
16,68.15999,73.0
17,73.39122,72.0
18,42.406147,37.0
19,82.37528,86.0
20,58.041206,58.0
21,55.080196,52.0
22,57.747284,56.0
23,81.90686,80.0
24,65.7894,64.0
25,69.34239,81.0
26,72.190506,71.0
27,61.914795,76.0
28,67.16215,79.0
29,64.74093,67.0
30,68.750145,64.0
31,48.5659,60.0
32,22.41778,19.0
33,19.873648,29.0
34,73.40121,68.0
35,47.424442,53.0
36,83.299385,87.0
37,37.146523,51.0
38,77.259094,78.0
39,51.665802,61.0
40,70.08487,70.0
41,76.94133,79.0
42,42.127514,49.0
