,predicted_value,ground_truth
0,78.14576,85.0
1,35.19076,26.0
2,50.624275,49.0
3,73.38327,66.0
4,52.080395,54.0
5,76.00262,76.0
6,81.72291,87.0
7,81.50184,82.0
8,65.195755,61.0
9,69.070274,68.0
10,20.401115,26.0
11,32.283173,40.0
12,73.49401,71.0
13,46.22309,48.0
14,68.29667,69.0
15,77.743706,80.0
16,60.2654,58.0
17,39.065865,41.0
18,64.37348,66.0
19,82.43847,76.0
20,60.63306,56.0
21,40.979195,47.0
22,77.23011,78.0
23,74.79285,72.0
24,45.292274,61.0
25,67.92467,65.0
26,72.573135,70.0
27,67.47941,79.0
28,35.44711,54.0
29,74.82893,73.0
30,68.46888,63.0
31,33.337467,29.0
32,39.653675,46.0
33,86.37105,80.0
34,67.14733,63.0
35,71.87129,75.0
36,78.55433,79.0
37,37.838223,38.0
38,33.09683,35.0
39,81.9329,81.0
40,83.96893,84.0
41,61.84021,59.0
42,73.26962,78.0
