,predicted_value,ground_truth
0,48.1507,51.0
1,52.843937,53.0
2,74.6014,80.0
3,58.993263,60.0
4,67.014885,76.0
5,43.6764,41.0
6,78.97906,79.0
7,82.78792,82.0
8,37.564373,28.0
9,42.508007,56.0
10,23.046108,37.0
11,73.418976,72.0
12,42.145535,44.0
13,83.102234,68.0
14,63.06204,75.0
15,59.719265,58.0
16,74.061584,78.0
17,69.229614,62.0
18,54.997715,62.0
19,64.8338,71.0
20,64.1061,67.0
21,33.634693,34.0
22,46.67131,39.0
23,44.197838,41.0
24,66.73319,69.0
25,69.456604,83.0
26,70.06944,69.0
27,30.91092,33.0
28,66.70004,64.0
29,23.340347,19.0
30,56.41481,63.0
31,69.93284,87.0
32,75.44496,87.0
33,46.13404,44.0
34,56.34382,51.0
35,64.22724,54.0
36,81.80374,77.0
37,66.89276,66.0
38,67.41263,73.0
39,69.58505,68.0
40,79.08992,78.0
41,61.293865,65.0
42,74.8761,79.0
