,predicted_value,ground_truth
0,70.87022,71.0
1,55.76867,41.0
2,72.504814,69.0
3,47.024384,45.0
4,61.85513,56.0
5,81.32443,74.0
6,76.676254,80.0
7,76.45877,72.0
8,25.801647,19.0
9,43.32166,50.0
10,42.868015,38.0
11,52.018627,59.0
12,29.124693,35.0
13,55.674366,54.0
14,74.507675,68.0
15,74.26766,85.0
16,42.491272,44.0
17,67.4532,62.0
18,31.83595,34.0
19,29.764202,27.0
20,69.553246,78.0
21,60.35066,65.0
22,60.448452,75.0
23,76.703766,68.0
24,73.279686,66.0
25,57.269142,64.0
26,67.58931,81.0
27,72.27206,79.0
28,66.83119,79.0
29,58.96883,54.0
30,69.00353,61.0
31,61.287823,69.0
32,34.335625,36.0
33,77.37973,77.0
34,57.801342,58.0
35,65.11053,67.0
36,80.34183,78.0
37,44.018192,42.0
38,79.5976,73.0
39,74.69081,83.0
40,58.358788,63.0
41,63.341614,49.0
42,69.89165,77.0
