,predicted_value,ground_truth
0,63.011066,66.0
1,34.21124,24.0
2,33.00753,41.0
3,56.784092,63.0
4,51.739033,56.0
5,78.45617,78.0
6,72.585106,76.0
7,66.23479,79.0
8,16.581688,70.0
9,48.752224,47.0
10,84.85371,86.0
11,77.93962,80.0
12,28.66781,24.0
13,75.40456,71.0
14,69.488594,72.0
15,85.530846,85.0
16,61.686512,68.0
17,75.094894,79.0
18,47.613823,48.0
19,32.981495,37.0
20,48.602547,54.0
21,34.871532,36.0
22,33.621517,32.0
23,77.28603,72.0
24,81.26538,80.0
25,79.25001,84.0
26,72.96077,71.0
27,45.40498,44.0
28,73.08087,81.0
29,46.76739,48.0
30,70.64436,69.0
31,66.27361,60.0
32,38.831676,29.0
33,79.61947,77.0
34,58.6558,64.0
35,40.85231,42.0
36,60.486183,62.0
37,64.035355,65.0
38,48.447075,53.0
39,54.67124,57.0
40,68.366936,67.0
41,73.861,74.0
42,66.007835,68.0
