,predicted_value,ground_truth
0,54.648407,49.0
1,48.089466,48.0
2,56.493565,47.0
3,66.98851,64.0
4,77.780754,85.0
5,70.11029,70.0
6,72.82973,69.0
7,59.060165,59.0
8,81.04448,75.0
9,43.15975,55.0
10,70.91734,75.0
11,21.684639,32.0
12,83.24508,76.0
13,44.804867,43.0
14,83.95525,80.0
15,59.58103,66.0
16,62.56212,62.0
17,32.707375,29.0
18,40.987896,46.0
19,43.393475,54.0
20,53.607853,58.0
21,39.02993,41.0
22,73.79611,79.0
23,53.472034,58.0
24,68.02918,77.0
25,31.360317,31.0
26,45.149864,52.0
27,49.01301,39.0
28,62.619286,67.0
29,45.088295,50.0
30,19.71661,22.0
31,17.257362,19.0
32,45.890163,35.0
33,79.452965,73.0
34,57.789883,46.0
35,71.073456,69.0
36,49.02604,48.0
37,18.559351,25.0
38,26.022411,31.0
39,81.51239,73.0
40,57.331707,52.0
41,78.160194,83.0
42,60.467552,55.0
43,35.38112,44.0
44,86.35027,79.0
45,54.007504,64.0
46,48.752716,42.0
47,48.74789,35.0
48,19.174877,20.0
49,54.92436,59.0
50,71.88083,68.0
51,46.112568,38.0
52,59.109802,66.0
53,60.343906,60.0
54,22.634624,26.0
55,25.87333,37.0
56,31.554586,27.0
57,84.62424,77.0
58,83.470955,85.0
59,29.667831,36.0
60,25.78733,28.0
61,80.6324,81.0
62,28.266153,38.0
63,45.35653,56.0
64,64.909966,70.0
65,50.28937,49.0
